Name,Top Shelf,Unlock 3,Unlock 6,Unlock 8,Middle Shelf
8-Bit Block Glider,,,,,Donut Plains 1
8-Bit Block Glider,,,,,Donut Plains 2R
8-Bit Block Glider,,,,,Donut Plains 3R/T
8-Bit Block Glider,,,,,Dry Dry Ruins R/T
8-Bit Block Glider,,,,,DS Mario Circuit
8-Bit Block Glider,,,,,DS Mario Circuit T
8-Bit Block Glider,,,,,Koopa Troopa Beach 2R/T
8-Bit Block Glider,,,,,Lakeside Park R
8-Bit Block Glider,,,,,London Loop
8-Bit Block Glider,,,,,Luigi Raceway T
8-Bit Block Glider,,,,,Madrid Drive R
8-Bit Block Glider,,,,,Mario Circuit 1R
8-Bit Block Glider,,,,,Mario Circuit 1R/T
8-Bit Block Glider,,,,,Mario Raceway R
8-Bit Block Glider,,,,,Merry Mountain
8-Bit Block Glider,,,,,Mushroom Bridge R/T
8-Bit Block Glider,,,,,New York Minute 2R
8-Bit Block Glider,,,,,New York Minute 3R
8-Bit Block Glider,,,,,New York Minute 4T
8-Bit Block Glider,,,,,New York Minute R/T
8-Bit Block Glider,,,,,Peach Gardens
8-Bit Block Glider,,,,,Piranha Plant Cove 3R/T
8-Bit Block Glider,,,,,RMX Bowser's Castle 1
8-Bit Block Glider,,,,,RMX Mario Circuit 1R/T
8-Bit Block Glider,,,,,RMX Rainbow Road 1T
8-Bit Block Glider,,,,,RMX Vanilla Lake 2T
8-Bit Block Glider,,,,,Rome Avanti 2R/T
8-Bit Block Glider,,,,,Rome Avanti 3T
8-Bit Block Glider,,,,,Rome Avanti R
8-Bit Block Glider,,,,,Squeaky Clean Sprint T
8-Bit Block Glider,,,,,Sydney Sprint 3R/T
8-Bit Block Glider,,,,,Tokyo Blur 3T
8-Bit Block Glider,,,,,Tokyo Blur 4R/T
8-Bit Block Glider,,,,,Wario Shipyard T
8-Bit Block Glider,,,,,Yoshi Desert R
8-Bit Block Glider,,,,,Yoshi's Island
8-Bit Bullet Bill,,,,RMX Ghost Valley 1,
8-Bit Bullet Bill,,,Bowser's Castle 2R,,
8-Bit Bullet Bill,,,Mario Circuit 3R/T,,
8-Bit Bullet Bill,,Airship Fortress R,,,
8-Bit Bullet Bill,,Maple Treeway,,,
8-Bit Bullet Bill,Airship Fortress,,,,
8-Bit Bullet Bill,Airship Fortress R/T,,,,
8-Bit Bullet Bill,Airship Fortress T,,,,
8-Bit Bullet Bill,Athens Dash 2,,,,
8-Bit Bullet Bill,Athens Dash 3T,,,,
8-Bit Bullet Bill,Bangkok Rush 3,,,,
8-Bit Bullet Bill,Bangkok Rush 3R/T,,,,
8-Bit Bullet Bill,Battle Course 1,,,,
8-Bit Bullet Bill,Berlin Byways T,,,,
8-Bit Bullet Bill,Bowser's Castle 1R,,,,
8-Bit Bullet Bill,Bowser's Castle 1T,,,,
8-Bit Bullet Bill,Bowser's Castle 2R/T,,,,
8-Bit Bullet Bill,Bowser's Castle 2T,,,,
8-Bit Bullet Bill,Bowser's Castle 4,,,,
8-Bit Bullet Bill,Cheep-Cheep Island T,,,,
8-Bit Bullet Bill,Choco Mountain R/T,,,,
8-Bit Bullet Bill,Daisy Cruiser R,,,,
8-Bit Bullet Bill,Ghost Valley 1,,,,
8-Bit Bullet Bill,Kalimari Desert R,,,,
8-Bit Bullet Bill,Mario Circuit 3R,,,,
8-Bit Bullet Bill,Mushroom Bridge T,,,,
8-Bit Bullet Bill,Neo Bowser City,,,,
8-Bit Bullet Bill,New York Minute 4R/T,,,,
8-Bit Bullet Bill,Ninja Hideaway R/T,,,,
8-Bit Bullet Bill,Piranha Plant Cove 3R,,,,
8-Bit Bullet Bill,RMX Choco Island 2,,,,
8-Bit Bullet Bill,RMX Choco Island 2R,,,,
8-Bit Bullet Bill,RMX Choco Island 2R/T,,,,
8-Bit Bullet Bill,RMX Ghost Valley 1R,,,,
8-Bit Bullet Bill,Rock Rock Mountain R,,,,
8-Bit Bullet Bill,Rome Avanti 3,,,,
8-Bit Bullet Bill,Sky Garden T,,,,
8-Bit Bullet Bill,Sydney Sprint 2T,,,,
8-Bit Bullet Bill,Vanilla Lake 1T,,,,
8-Bit Bullet Bill,Waluigi Pinball R/T,,,,
8-Bit Bullet Bill,Waluigi Stadium R,,,,
8-Bit Bullet Bill,Yoshi Desert R/T,,,,
8-Bit Bullet Bill,Yoshi Valley T,,,,
8-Bit Bullet Bill,,,,,Airship Fortress R
8-Bit Bullet Bill,,,,,Athens Dash 3R
8-Bit Bullet Bill,,,,,Bangkok Rush 2R
8-Bit Bullet Bill,,,,,Bangkok Rush 3R
8-Bit Bullet Bill,,,,,Bangkok Rush R
8-Bit Bullet Bill,,,,,Berlin Byways 3R/T
8-Bit Bullet Bill,,,,,Berlin Byways R
8-Bit Bullet Bill,,,,,Berlin Byways R/T
8-Bit Bullet Bill,,,,,Bowser's Castle 1
8-Bit Bullet Bill,,,,,Bowser's Castle 1R/T
8-Bit Bullet Bill,,,,,Bowser's Castle 2R
8-Bit Bullet Bill,,,,,Bowser's Castle R/T
8-Bit Bullet Bill,,,,,Cheep-Cheep Island R
8-Bit Bullet Bill,,,,,Ghost Valley 1R
8-Bit Bullet Bill,,,,,Ghost Valley 2R
8-Bit Bullet Bill,,,,,Ghost Valley 2T
8-Bit Bullet Bill,,,,,Kalimari Desert 2
8-Bit Bullet Bill,,,,,Maple Treeway
8-Bit Bullet Bill,,,,,Maple Treeway R/T
8-Bit Bullet Bill,,,,,Mario Circuit 3R/T
8-Bit Bullet Bill,,,,,Mario Circuit 3T
8-Bit Bullet Bill,,,,,New York Minute 4R
8-Bit Bullet Bill,,,,,Ninja Hideaway T
8-Bit Bullet Bill,,,,,Piranha Plant Slide T
8-Bit Bullet Bill,,,,,RMX Ghost Valley 1
8-Bit Bullet Bill,,,,,RMX Vanilla Lake 1
8-Bit Bullet Bill,,,,,Rock Rock Mountain
8-Bit Bullet Bill,,,,,Sky Garden R
8-Bit Bullet Bill,,,,,Yoshi Desert T
8-Bit Fire Flower,,,,RMX Rainbow Road 2,
8-Bit Fire Flower,,,Mario Circuit 1R,,
8-Bit Fire Flower,,,Tokyo Blur 4R/T,,
8-Bit Fire Flower,,Ghost Valley 1,,,
8-Bit Fire Flower,,RMX Mario Circuit 1T,,,
8-Bit Fire Flower,3DS Mario Circuit R,,,,
8-Bit Fire Flower,3DS Rainbow Road,,,,
8-Bit Fire Flower,Amsterdam Drift T,,,,
8-Bit Fire Flower,Athens Dash 3T,,,,
8-Bit Fire Flower,Bowser's Castle,,,,
8-Bit Fire Flower,Bowser's Castle 1R/T,,,,
8-Bit Fire Flower,Bowser's Castle 1T,,,,
8-Bit Fire Flower,Bowser's Castle 3T,,,,
8-Bit Fire Flower,Cheep-Cheep Island,,,,
8-Bit Fire Flower,Choco Island 1T,,,,
8-Bit Fire Flower,DK Mountain,,,,
8-Bit Fire Flower,Donut Plains 2R/T,,,,
8-Bit Fire Flower,Ghost Valley 2T,,,,
8-Bit Fire Flower,Koopa Cape T,,,,
8-Bit Fire Flower,Los Angeles Laps 2,,,,
8-Bit Fire Flower,Madrid Drive 3,,,,
8-Bit Fire Flower,Madrid Drive R/T,,,,
8-Bit Fire Flower,Maple Treeway R/T,,,,
8-Bit Fire Flower,Mario Circuit 2,,,,
8-Bit Fire Flower,Mario Circuit 2T,,,,
8-Bit Fire Flower,Mario Circuit 3,,,,
8-Bit Fire Flower,Mario Circuit 3R/T,,,,
8-Bit Fire Flower,Ninja Hideaway T,,,,
8-Bit Fire Flower,Piranha Plant Slide T,,,,
8-Bit Fire Flower,RMX Choco Island 1R/T,,,,
8-Bit Fire Flower,RMX Ghost Valley 1,,,,
8-Bit Fire Flower,RMX Ghost Valley 1R,,,,
8-Bit Fire Flower,RMX Rainbow Road 2R/T,,,,
8-Bit Fire Flower,Singapore Speedway 2R,,,,
8-Bit Fire Flower,SNES Rainbow Road R/T,,,,
8-Bit Fire Flower,Sydney Sprint 2R,,,,
8-Bit Fire Flower,Sydney Sprint T,,,,
8-Bit Fire Flower,Tokyo Blur 3R/T,,,,
8-Bit Fire Flower,Tokyo Blur 4,,,,
8-Bit Fire Flower,Tokyo Blur 4T,,,,
8-Bit Fire Flower,Twilight House,,,,
8-Bit Fire Flower,Vancouver Velocity 2T,,,,
8-Bit Fire Flower,Vanilla Lake 1,,,,
8-Bit Fire Flower,Vanilla Lake 1R/T,,,,
8-Bit Fire Flower,Vanilla Lake 1T,,,,
8-Bit Fire Flower,,,,,Athens Dash 3
8-Bit Fire Flower,,,,,Bowser's Castle 1
8-Bit Fire Flower,,,,,Bowser's Castle 3
8-Bit Fire Flower,,,,,Bowser's Castle 3R/T
8-Bit Fire Flower,,,,,Bowser's Castle R
8-Bit Fire Flower,,,,,Cheep-Cheep Island T
8-Bit Fire Flower,,,,,DK Mountain R/T
8-Bit Fire Flower,,,,,Ghost Valley 1
8-Bit Fire Flower,,,,,Koopa Cape R
8-Bit Fire Flower,,,,,Mario Circuit 1R
8-Bit Fire Flower,,,,,Mario Circuit 2R
8-Bit Fire Flower,,,,,Mario Circuit 3T
8-Bit Fire Flower,,,,,Ninja Hideaway R
8-Bit Fire Flower,,,,,Piranha Plant Slide R
8-Bit Fire Flower,,,,,RMX Bowser's Castle 1
8-Bit Fire Flower,,,,,RMX Mario Circuit 1R
8-Bit Fire Flower,,,,,RMX Mario Circuit 1T
8-Bit Fire Flower,,,,,RMX Rainbow Road 1R
8-Bit Fire Flower,,,,,RMX Rainbow Road 2
8-Bit Fire Flower,,,,,Rome Avanti 3R
8-Bit Fire Flower,,,,,Singapore Speedway 2
8-Bit Fire Flower,,,,,Sky Garden
8-Bit Fire Flower,,,,,Sydney Sprint
8-Bit Fire Flower,,,,,Tokyo Blur 4R
8-Bit Fire Flower,,,,,Tokyo Blur 4R/T
8-Bit Fire Flower,,,,,Vanilla Lake 1R
8-Bit Goomba,,,,Donut Plains 3R,
8-Bit Goomba,,,DS Mario Circuit R,,
8-Bit Goomba,,,RMX Donut Plains 1T,,
8-Bit Goomba,,RMX Mario Circuit 1R/T,,,
8-Bit Goomba,,RMX Mario Circuit 1T,,,
8-Bit Goomba,Amsterdam Drift 2R/T,,,,
8-Bit Goomba,Athens Dash 2R/T,,,,
8-Bit Goomba,Athens Dash 3,,,,
8-Bit Goomba,Athens Dash R,,,,
8-Bit Goomba,Bowser Castle 3,,,,
8-Bit Goomba,Bowser Castle 3T,,,,
8-Bit Goomba,Bowser's Castle 1,,,,
8-Bit Goomba,Bowser's Castle 3,,,,
8-Bit Goomba,Bowser's Castle T,,,,
8-Bit Goomba,Cheep Cheep Lagoon R,,,,
8-Bit Goomba,DK Mountain T,,,,
8-Bit Goomba,Donut Plains 1R,,,,
8-Bit Goomba,Donut Plains 2R/T,,,,
8-Bit Goomba,Donut Plains 3R/T,,,,
8-Bit Goomba,Dry Dry Ruins R,,,,
8-Bit Goomba,Dry Dry Ruins R/T,,,,
8-Bit Goomba,DS Mario Circuit,,,,
8-Bit Goomba,Koopa Troopa Beach 2R/T,,,,
8-Bit Goomba,Koopa Troopa Beach R,,,,
8-Bit Goomba,Lakeside Park,,,,
8-Bit Goomba,Los Angeles Laps 2R/T,,,,
8-Bit Goomba,Los Angeles Laps 3R/T,,,,
8-Bit Goomba,Luigi Circuit T,,,,
8-Bit Goomba,Madrid Drive R/T,,,,
8-Bit Goomba,Mushroom Bridge T,,,,
8-Bit Goomba,New York Minute,,,,
8-Bit Goomba,Piranha Plant Slide T,,,,
8-Bit Goomba,RMX Choco Island 1,,,,
8-Bit Goomba,RMX Choco Island 2R,,,,
8-Bit Goomba,RMX Donut Plains 1R/T,,,,
8-Bit Goomba,RMX Ghost Valley 1R,,,,
8-Bit Goomba,RMX Mario Circuit 1,,,,
8-Bit Goomba,RMX Vanilla Lake 1R/T,,,,
8-Bit Goomba,RMX Vanilla Lake 2T,,,,
8-Bit Goomba,Rome Avanti 2R/T,,,,
8-Bit Goomba,Shroom Ridge R,,,,
8-Bit Goomba,Snow Land R/T,,,,
8-Bit Goomba,Squeaky Clean Sprint T,,,,
8-Bit Goomba,Sydney Sprint 3,,,,
8-Bit Goomba,Tokyo Blur 2R/T,,,,
8-Bit Goomba,Tokyo Blur 3R,,,,
8-Bit Goomba,Twilight House,,,,
8-Bit Goomba,Waluigi Stadium,,,,
8-Bit Goomba,Yoshi Desert,,,,
8-Bit Goomba,,,,,Amsterdam Drift R/T
8-Bit Goomba,,,,,Athens Dash 2
8-Bit Goomba,,,,,Athens Dash 3R
8-Bit Goomba,,,,,Athens Dash R/T
8-Bit Goomba,,,,,Berlin Byways 3R
8-Bit Goomba,,,,,Bowser's Castle 2
8-Bit Goomba,,,,,Bowser's Castle 4R
8-Bit Goomba,,,,,Bowser's Castle R/T
8-Bit Goomba,,,,,Cheep Cheep Lagoon T
8-Bit Goomba,,,,,DK Mountain R/T
8-Bit Goomba,,,,,DK Pass R/T
8-Bit Goomba,,,,,Donut Plains 1T
8-Bit Goomba,,,,,Donut Plains 2T
8-Bit Goomba,,,,,Donut Plains 3R
8-Bit Goomba,,,,,Dry Dry Ruins T
8-Bit Goomba,,,,,DS Mario Circuit R
8-Bit Goomba,,,,,Koopa Troopa Beach 2R
8-Bit Goomba,,,,,Koopa Troopa Beach R/T
8-Bit Goomba,,,,,London Loop 3R
8-Bit Goomba,,,,,Los Angeles Laps 3R
8-Bit Goomba,,,,,Los Angeles Laps R/T
8-Bit Goomba,,,,,Luigi Circuit R
8-Bit Goomba,,,,,Luigi Raceway R/T
8-Bit Goomba,,,,,Luigi Raceway T
8-Bit Goomba,,,,,Madrid Drive
8-Bit Goomba,,,,,Mario Raceway
8-Bit Goomba,,,,,Merry Mountain R/T
8-Bit Goomba,,,,,Mushroom Bridge
8-Bit Goomba,,,,,Mushroom Gorge R/T
8-Bit Goomba,,,,,New York Minute 3T
8-Bit Goomba,,,,,New York Minute R/T
8-Bit Goomba,,,,,Peach Gardens R
8-Bit Goomba,,,,,RMX Bowser's Castle 1R/T
8-Bit Goomba,,,,,RMX Choco Island 1R
8-Bit Goomba,,,,,RMX Choco Island 2T
8-Bit Goomba,,,,,RMX Donut Plains 1T
8-Bit Goomba,,,,,RMX Ghost Valley 1R/T
8-Bit Goomba,,,,,RMX Mario Circuit 1R/T
8-Bit Goomba,,,,,RMX Mario Circuit 1T
8-Bit Goomba,,,,,RMX Vanilla Lake 1
8-Bit Goomba,,,,,RMX Vanilla Lake 2R/T
8-Bit Goomba,,,,,Rome Avanti
8-Bit Goomba,,,,,Sydney Sprint 2T
8-Bit Goomba,,,,,Sydney Sprint 3R
8-Bit Goomba,,,,,Tokyo Blur 3
8-Bit Goomba,,,,,Tokyo Blur 4T
8-Bit Goomba,,,,,Tokyo Blur R
8-Bit Goomba,,,,,Waluigi Stadium R/T
8-Bit Goomba,,,,,Yoshi Desert R
8-Bit Goomba,,,,,Yoshi Valley R/T
8-Bit Jumping Luigi,,,Luigi's Mansion R/T,,
8-Bit Jumping Luigi,,Waluigi Pinball R/T,,,
8-Bit Jumping Luigi,Battle Course 1,,,,
8-Bit Jumping Luigi,Donut Plains 2,,,,
8-Bit Jumping Luigi,Frappe Snowland,,,,
8-Bit Jumping Luigi,Luigi Raceway,,,,
8-Bit Jumping Luigi,Mario Circuit 1R/T,,,,
8-Bit Jumping Luigi,Mario Circuit 2T,,,,
8-Bit Jumping Luigi,Mario Circuit 3R,,,,
8-Bit Jumping Luigi,Mario Circuit 3R/T,,,,
8-Bit Jumping Luigi,New York Minute 2,,,,
8-Bit Jumping Luigi,RMX Rainbow Road 1R,,,,
8-Bit Jumping Luigi,Singapore Speedway 2T,,,,
8-Bit Jumping Luigi,,,,,Amsterdam Drift R
8-Bit Jumping Luigi,,,,,Athens Dash R/T
8-Bit Jumping Luigi,,,,,Berlin Byways 2
8-Bit Jumping Luigi,,,,,Berlin Byways 2R
8-Bit Jumping Luigi,,,,,Boo Lake R/T
8-Bit Jumping Luigi,,,,,Bowser's Castle 4
8-Bit Jumping Luigi,,,,,Donut Plains 2R/T
8-Bit Jumping Luigi,,,,,Frappe Snowland R
8-Bit Jumping Luigi,,,,,Koopa Cape
8-Bit Jumping Luigi,,,,,Luigi Circuit
8-Bit Jumping Luigi,,,,,Luigi Raceway R/T
8-Bit Jumping Luigi,,,,,Luigi's Mansion R/T
8-Bit Jumping Luigi,,,,,Mario Circuit 3T
8-Bit Jumping Luigi,,,,,Merry Mountain
8-Bit Jumping Luigi,,,,,Merry Mountain R
8-Bit Jumping Luigi,,,,,Paris Promenade 2R
8-Bit Jumping Luigi,,,,,Piranha Plant Cove 3
8-Bit Jumping Luigi,,,,,RMX Choco Island 1R/T
8-Bit Jumping Luigi,,,,,RMX Choco Island 2R
8-Bit Jumping Luigi,,,,,RMX Choco Island 2T
8-Bit Jumping Luigi,,,,,RMX Mario Circuit 1
8-Bit Jumping Luigi,,,,,RMX Mario Circuit 1R/T
8-Bit Jumping Luigi,,,,,RMX Rainbow Road 1R/T
8-Bit Jumping Luigi,,,,,RMX Rainbow Road 2T
8-Bit Jumping Luigi,,,,,Singapore Speedway
8-Bit Jumping Luigi,,,,,Singapore Speedway T
8-Bit Jumping Luigi,,,,,Sydney Sprint 3R/T
8-Bit Jumping Luigi,,,,,Tokyo Blur 4
8-Bit Jumping Luigi,,,,,Tokyo Blur 4T
8-Bit Jumping Luigi,,,,,Vanilla Lake 1T
8-Bit Jumping Luigi,,,,,Waluigi Pinball R/T
8-Bit Jumping Luigi,,,,,Yoshi Desert
8-Bit Jumping Mario,,,Mario Circuit 2,,
8-Bit Jumping Mario,,Mario Circuit 1R/T,,,
8-Bit Jumping Mario,Bowser's Castle 2R,,,,
8-Bit Jumping Mario,Donut Plains 3,,,,
8-Bit Jumping Mario,London Loop,,,,
8-Bit Jumping Mario,Luigi Raceway,,,,
8-Bit Jumping Mario,Mario Circuit 1,,,,
8-Bit Jumping Mario,Mario Circuit 1R,,,,
8-Bit Jumping Mario,Mario Circuit 2R,,,,
8-Bit Jumping Mario,Mario Circuit 2R/T,,,,
